	pair	score	Genre	class
0	delivered - overgedragen	0.475	action	Reproduction
1	his - zijn	0.418	action	Reproduction
2	swear - zweert	0.541	action	Reproduction
3	i - dat	0.571	action	Creative Shift
4	sit - ga	0.563	action	Creative Shift
5	are - ben	0.538	action	Reproduction
6	look - jij	0.512	action	Creative Shift
7	relax - relax	0.494	action	Reproduction
8	fair - mooie	0.555	action	Reproduction
9	dies - sterven	0.401	action	Reproduction
10	you - ik	0.429	action	Creative Shift
11	take - brengen	0.411	action	Reproduction
12	kill - vermoordt	0.422	action	Reproduction
13	arises - opstaat	0.597	action	Reproduction
14	corpses - lijken	0.591	action	Reproduction
15	resting - rust	0.484	action	Reproduction
16	roadblock - wegversperring	0.479	action	Reproduction
17	currently - nu	0.56	action	Reproduction
18	near - bij	0.536	action	Creative Shift
19	across - halverwege	0.572	action	Creative Shift
20	lord - heer	0.5	action	Reproduction
21	drinks - drinkt	0.468	action	Reproduction
22	before - eerder	0.421	action	Reproduction
23	numerals - cijfers	0.562	action	Reproduction
24	moment - eraan	0.568	action	Creative Shift
25	and - toch	0.496	children	Creative Shift
26	shilling - shilling	0.416	children	Reproduction
27	excitable - prikkelbaarder	0.5	children	Reproduction
28	apiece - per	0.572	children	Reproduction
29	ours - ons	0.442	children	Reproduction
30	it - het	0.511	children	Reproduction
31	consumed - bezeten	0.557	children	Reproduction
32	before - gegeven	0.54	children	Creative Shift
33	stupid - stomme	0.415	children	Reproduction
34	to - naar	0.473	children	Reproduction
35	handsomely - goed	0.588	children	Creative Shift
36	memorized - onthouden	0.463	children	Reproduction
37	afternoon - goedemiddag	0.571	children	Creative Shift
38	too - ook	0.411	children	Reproduction
39	agreed - eens	0.563	children	Reproduction
40	tough - sterk	0.464	children	Reproduction
41	right - gelijk	0.421	children	Reproduction
42	fitness - conditietraining	0.408	children	Reproduction
43	save - redde	0.499	children	Reproduction
44	it - kun	0.478	children	Creative Shift
45	changed - meer	0.593	children	Creative Shift
46	he - niet	0.502	children	Creative Shift
47	knows - kent	0.488	children	Reproduction
48	enough - genoeg	0.596	children	Reproduction
49	his - favoriete	0.568	children	Creative Shift
50	excuse - pardon	0.573	comedies	Reproduction
51	see - maken	0.473	comedies	Creative Shift
52	company - gezelschap	0.596	comedies	Reproduction
53	summon - roep	0.553	comedies	Reproduction
54	been - hebt	0.499	comedies	Creative Shift
55	you - ik	0.429	comedies	Creative Shift
56	punch - sla	0.57	comedies	Reproduction
57	his - zijn	0.418	comedies	Reproduction
58	passed - geslaagd	0.556	comedies	Reproduction
59	tequilas - tequila	0.412	comedies	Reproduction
60	rose - roos	0.5	comedies	Reproduction
61	kidding - grapje	0.417	comedies	Reproduction
62	couch - bank	0.457	comedies	Reproduction
63	going - ga	0.466	comedies	Reproduction
64	kick - slaan	0.537	comedies	Creative Shift
65	it - het	0.51	comedies	Reproduction
66	have - success	0.565	comedies	Creative Shift
67	too - ook	0.411	comedies	Reproduction
68	coming - kom	0.446	comedies	Reproduction
69	casualty - slachtoffer	0.498	comedies	Reproduction
70	see - houden	0.568	comedies	Creative Shift
71	a - elke	0.493	comedies	Creative Shift
72	watch - gekeken	0.485	comedies	Reproduction
73	run - rennen	0.543	comedies	Reproduction
74	fuck - kut	0.518	comedies	Reproduction
75	right - juiste	0.575	documentaries	Reproduction
76	took - meenamen	0.527	documentaries	Reproduction
77	hey - hoi	0.536	documentaries	Reproduction
78	praise - prezen	0.477	documentaries	Reproduction
79	fulfilled - voldoening	0.551	documentaries	Reproduction
80	who - zoals	0.594	documentaries	Creative Shift
81	and - naar	0.521	documentaries	Creative Shift
82	record - plaat	0.506	documentaries	Reproduction
83	is - hoort	0.466	documentaries	Creative Shift
84	where - overal	0.475	documentaries	Creative Shift
85	might - hebt	0.479	documentaries	Creative Shift
86	forever - altijd	0.489	documentaries	Reproduction
87	write - schreef	0.553	documentaries	Reproduction
88	moving - verhuisde	0.552	documentaries	Reproduction
89	fans - fans	0.462	documentaries	Reproduction
90	crumble - instorten	0.434	documentaries	Reproduction
91	you - maar	0.427	documentaries	Creative Shift
92	award - prijs	0.463	documentaries	Reproduction
93	there - je	0.54	documentaries	Creative Shift
94	name - noemen	0.573	documentaries	Reproduction
95	clap - klappen	0.525	documentaries	Reproduction
96	formative - formatief	0.574	documentaries	Reproduction
97	mountaintop - bergtop	0.484	documentaries	Reproduction
98	climbed - kon	0.55	documentaries	Creative Shift
99	grown - volwassen	0.441	documentaries	Reproduction
100	for - vanavond	0.593	drama	Creative Shift
101	happening - plaatsvinden	0.438	drama	Reproduction
102	you - niks	0.519	drama	Creative Shift
103	bite - bijten	0.403	drama	Reproduction
104	serve - gediend	0.448	drama	Reproduction
105	dear - mijn	0.505	drama	Creative Shift
106	lost - zoekgeraakt	0.446	drama	Reproduction
107	indians - kolonisten	0.461	drama	Creative Shift
108	pleasure - leuk	0.584	drama	Reproduction
109	bacon - spek	0.458	drama	Reproduction
110	be - geen	0.484	drama	Creative Shift
111	fortune - rijkdom	0.437	drama	Reproduction
112	they - word	0.548	drama	Creative Shift
113	see - nee	0.58	drama	Creative Shift
114	name - heet	0.57	drama	Creative Shift
115	cicada - cicade	0.51	drama	Reproduction
116	to - naar	0.473	drama	Reproduction
117	see - bezoeken	0.542	drama	Reproduction
118	honor - vereerd	0.512	drama	Reproduction
119	associates - compagnons	0.498	drama	Reproduction
120	poor - armen	0.579	drama	Reproduction
121	gotta - moeten	0.477	drama	Reproduction
122	worthless - niks	0.51	drama	Creative Shift
123	share - deel	0.514	drama	Reproduction
124	considering - gezien	0.424	drama	Reproduction
